"Date" "Time" "GBdem_r" "Idem_r" "GBwind_r" "Iwind_r"
"265" "2007-11-15" "00:00:00" 32256.4148948944 5093.70297934511 1165.635 284.55
"266" "2007-11-15" "01:00:00" 31737.1924651528 4676.19806296111 1147.575 228.09
"267" "2007-11-15" "02:00:00" 30899.3056257414 4426.85328836686 1116.255 179.499
"268" "2007-11-15" "03:00:00" 30071.223845089 4343.90958830025 1106.925 143.256
"269" "2007-11-15" "04:00:00" 29305.9835773925 4314.85956229434 1123.56 119.163
"270" "2007-11-15" "05:00:00" 30216.0713040298 4391.68331352126 1123.26 107.235
"271" "2007-11-15" "06:00:00" 35202.8350519949 4945.05644492124 1103.205 103.752
"272" "2007-11-15" "07:00:00" 41055.1180776924 6102.36619322748 1082.535 112.215
"273" "2007-11-15" "08:00:00" 42421.5867211155 6631.17926764459 1079.55 137.349
"274" "2007-11-15" "09:00:00" 43267.0501968408 6896.08409576959 1025.79 162.219
"275" "2007-11-15" "10:00:00" 43301.3679024975 6930.49626711406 933.96 184.587
"276" "2007-11-15" "11:00:00" 43224.7101703811 6956.87960065835 896.13 210.873
"277" "2007-11-15" "12:00:00" 42961.3106373534 6985.13637427914 929.175 233.718
"278" "2007-11-15" "13:00:00" 42530.7794209324 6828.7138261711 979.56 246.828
"279" "2007-11-15" "14:00:00" 42325.318871481 6839.19599428209 1026.03 246.03
"280" "2007-11-15" "15:00:00" 42456.7957957504 6935.75206580065 1055.16 235.389
"281" "2007-11-15" "16:00:00" 46749.6287942667 7379.05841895401 1084.5 231.912
"282" "2007-11-15" "17:00:00" 49447.8026909671 8081.22054916068 1094.22 240.804
"283" "2007-11-15" "18:00:00" 48418.2715212648 7914.54390972355 1084.53 255.819
"284" "2007-11-15" "19:00:00" 46656.0350515665 7733.91646231939 1070.145 269.7
"285" "2007-11-15" "20:00:00" 44244.8819658135 7360.17553418439 1059.585 285.966
"286" "2007-11-15" "21:00:00" 41056.9008156486 6939.57251910909 1060.515 307.839
"287" "2007-11-15" "22:00:00" 37316.2708990635 6258.19748070446 1088.265 326.907
"288" "2007-11-15" "23:00:00" 33486.9497691577 5786.48586992566 1154.4 338.181
"289" "2007-11-16" "00:00:00" 32704.3278063883 5125.74810162469 1216.125 339.051
"290" "2007-11-16" "01:00:00" 32243.044360223 4676.27631804463 1258.425 340.695
"291" "2007-11-16" "02:00:00" 31483.5979908841 4410.88858248113 1308.09 341.64
"292" "2007-11-16" "03:00:00" 30675.1263277499 4326.70484032175 1352.925 341.604
"293" "2007-11-16" "04:00:00" 29670.1078049452 4284.1915957154 1425.375 348.102
"294" "2007-11-16" "05:00:00" 30424.2059604155 4357.5467070863 1530.96 365.436
"295" "2007-11-16" "06:00:00" 35526.4019910442 4896.08615265386 1672.77 396.096
"296" "2007-11-16" "07:00:00" 41488.7690855367 6044.016661334 1815.255 435.741
"297" "2007-11-16" "08:00:00" 43111.5063101628 6586.51501151163 1913.625 482.385
"298" "2007-11-16" "09:00:00" 43857.1364603412 6846.94257870408 1973.955 541.902
"299" "2007-11-16" "10:00:00" 43960.0895773114 6886.61790605068 2007.615 592.221
"300" "2007-11-16" "11:00:00" 43889.6714280417 6896.8218338647 2111.88 646.158
"301" "2007-11-16" "12:00:00" 43499.2518156351 6893.71972209219 2298.795 708.786
"302" "2007-11-16" "13:00:00" 42697.0197353476 6676.71971317427 2466.09 770.979
"303" "2007-11-16" "14:00:00" 42656.4624468442 6643.34358562791 2583.27 812.925
"304" "2007-11-16" "15:00:00" 42697.0197353476 6701.87236848194 2727.285 806.964
"305" "2007-11-16" "16:00:00" 46463.9450367866 7064.86760284007 2857.155 814.632
"306" "2007-11-16" "17:00:00" 48595.2082634171 7697.02086255506 2988.45 855.801
"307" "2007-11-16" "18:00:00" 47206.9010800306 7542.82758105715 3148.785 914.121
"308" "2007-11-16" "19:00:00" 45015.4704473785 7375.07543585671 3339.3 982.986
"309" "2007-11-16" "20:00:00" 42419.3582986703 6942.32081088857 3593.085 1067.958
"310" "2007-11-16" "21:00:00" 39161.4046837248 6409.70066010038 3859.785 1206.906
"311" "2007-11-16" "22:00:00" 36337.9934456018 5868.37881156308 4197.495 1359.354
